《标准日本语》 中级 上册

第1课
崩れる (くずれる) (3)	[动2] 崩溃
工業 (こうぎょう) (1)	[名] 工业
能率 (のうりつ) (0)	[名] 效率
経理部 (けいりぶ) (3)	[名] 经理部
配属する (はいぞくする) (0)	[动3] 分配
ほえる (2)	[动2] 狗叫
たびたび (0)	[副] 经常，屡次
拾う (ひろう) (0)	[动1] 拾，拣
たえず (1)	[副] 不断
つねに (1)	[副] 经常


第8课
词汇Ⅰ
数字 (すうじ) (0)	[名] 数字
めぐる (0)	[动1] 围绕
ねえ (1)	[感] 喂
解く (とく) (1)	[动1] 解
コップ (0)	[名] 杯子
運び賃 (はこびちん) (3)	[名] 运费
代金 (だいきん) (0)	[名] 货款
支払う (しはらう) (3)	[动1] 支付
いったい (0)	[副] 究竟
壊れる (こわれる) (3)	[动2] 损坏
ほう	[感] 哦
かなり (1)	[副] 相当
純子ちゃん (じゅんこちゃん) (1)	[名] 纯子 (人名) “ちゃん”接在人名后表示亲密的感情，主要用于呼唤孩子的名字。
金額 (きんがく) (0)	[名] 金额
すると (0)	[接续] 那么
割り切れる (わりきれる) (4)	[动2] 除得尽
勘違い (かんちがい) (3)	[名] 理解错
損 (そん) (1)	[名] 损失
あ	[感] 啊
弁償する (べんしょうする) (0)	[动3] 赔偿
よし (1)	[感] 好
空き瓶 (あきびん) (0)	[名] 空瓶
引き替え (ひきかえ) (0)	[名] 交换
そうか (1)	[词组] 是啊
ずるい (2)	[形] 狡猾
～につき…	…分 (ぶん)	～賃 (ちん)	～ちゃん
…みたいだ	～で済む (ですむ)	…(だ) けど
…じゃないか	＋ (たす) 	- (ひく)	× (かける)
÷ (わる)	＝ (は)	…ばかりか, ～も
…とする。/ としたら, …	…と言えば…かもしれないけど, …

词汇Ⅱ
迷惑する (めいわくする) (1)	[动3] 觉得麻烦，为难
性格 (せいかく) (0)	[名] 性格
陽気だ (ようきだ) (0)	[形动] 爽朗，开朗
他人 (たにん) (0)	[名] 他人，别人
バイオリン (0)	[名] 小提琴
体重 (たいじゅう) (0)	[名] 体重
目立つ (めだつ) (2)	[动1] 引人注目
ラジカセ (0)	[名] 收录机
コピーする (1)	[动3] 复印，复制
残す (のこす) (2)	[动1] 剩下
修理 (しゅうり) (1)	[名] 修理
押える (おさえる) (3)	[动2] 按住
だめだ (2)	[形动] 不行
～パーセント (百分率)	～トン (吨)
～キロメートル (公里，千米)	～キログラム (公斤，千克)
～センチメートル (厘米)	～ミリグラム (毫克)
～センチ (厘)	～リットル (公升)
～ミリメートル (毫米)	～デシリットル (分升)
～ミリ (毫)	～ミリリットル (毫升)


第9课
词汇Ⅰ
交換手 (こうかんしゅ) (3)	[名] 接线员
少々 (しょうしょう) (1)	[副] 稍微
じゃあ (1)	[词组] 那么
空ける (あける) (0)	[动2] 留出，腾出
だいたい (0)	[副] 大体
友人 (ゆうじん) (0)	[名] 朋友
批判 (ひはん) (0)	[名] 批评
高まる (たかまる) (3)	[动1] 高涨
設ける (もうける) (3)	[动2] 设置，制定
脱出する (だっしゅつする) (0)	[动3] 离开，逃离
年々 (ねんねん) (0)	[副] 年年
中旬 (ちゅうじゅん) (0)	[名] 中旬
お盆 (おぼん) (2)	[名] 盂兰盆节
当たる (あたる) (0)	[动1] 适逢
先祖 (せんぞ) (1)	[名] 祖先
墓参り (はかまいり) (3)	[名] 扫墓
再会 (さいかい) (0)	[名] 再次见面
民族大移動 (みんぞくだいいどう) (7)	[名] 民族大迁移
前後 (ぜんご) (1)	[名] 前后
いっせいに (0)	[副] 一齐
帰省する (きせいする) (0)	[动3] 回乡省亲
列車 (れっしゃ) (0)	[名] 火车，列车
旅館 (りょかん) (0)	[名] 旅馆
立てる (たてる) (2) (計画をたてる)	[动2] 作出 (作出计划)
前もって (まえもって) (3)	[词组] 提前
宿泊 (しゅくはく) (0)	[名] 住宿
施設 (しせつ) (1)	[名] 设施
手配 (てはい) (1)	[名] 安排
西口 (にしぐち) (0)	[名] 西口
～手 (しゅ)	…なんて, …	～口 (ぐち)	～側 (がわ)
…つつある	…まる	…ためか, …	…ないと…ない

词汇Ⅱ
うそ (1)	[名] 谎话
殴る (なぐる) (2)	[动1] 殴打
ひどい (2)	[形] 厉害
強まる (つよまる) (3)	[动1] 增强
薄まる (うすまる) (3)	[动1] 弄淡
固まる (かたまる) (0)	[动1] 加固
弱まる (よわまる) (3)	[动1] 减弱
高める (たかめる) (3)	[动2] 提高
強める (つよめる) (3)	[动2] 加强
薄める (うすめる) (0)	[动2] 稀释
固める (かためる) (0)	[动2] 巩固
弱める (よわめる) (3)	[动2] 削弱
信じる (しんじる) (3)	[动2] 相信
おとなしい (4)	[形] 温顺
破壊する (はかいする) (0)	[动3] 破坏
伸びる (のびる) (2)	[动2] 长高，延伸
お宅 (おたく) (0)	[名] 府上，您家
御用件 (ごようけん) (4)	[名] 事，事情
首都 (しゅと) (1)	[名] 首都
娯楽 (ごらく) (0)	[名] 娱乐
レクリェーション (4)	[名] 娱乐 (活动)
見物 (けんぶつ) (0)	[名] 游览，参观
花見 (はなみ) (0)	[名] 看花，赏花
観劇 (かんげき) (0)	[名] 观剧，看戏
遠足 (えんそく) (0)	[名] 远足，徒步旅行
ハイキング (1)	[名] 郊游，徒步旅行
ピクニック (1)	[名] 郊游，野游
サイクリング (1)	[名] 自行车旅行
ドライブ (2)	[名] 开汽车远游
釣り (つり) (0)	[名] 钓鱼
海水浴 (かいすいよく) (3)	[名] 海水浴，海水游泳
登山 (とざん) (1)	[名] 登山，爬山
ゴルフ (1)	[名] 高尔夫球
