《标准日本语》 中级 下册

第21课
词汇Ⅰ
立ちこめる (たちこめる) (4)	[动2] 笼罩，弥漫
敬遠する (けいえんする) (0)	[动3] 敬而远之，(有意)回避
食いつく (くいつく) (3)	[动1] 咬住，咬上
枝 (えだ) (0)	[名] 枝，树枝
折れる (おれる) (2)	[动2] 折断
傷口 (きずぐち) (0)	[名] 伤口
侵入する (しんにゅうする) (0)	[动3] 侵入
細菌 (さいきん) (0)	[名] 细菌
撃退する (げきたいする) (0)	[动3] 打退，逐出
進化 (しんか) (1)	[名] 进化
過程 (かてい) (0)	[名] 过程
自衛 (じえい) (0)	[名] 自卫
武器 (ぶき) (1)	[名] 武器
一種 (いっしゅ) (1)	[名] 一种
治療 (ちりょう) (0)	[名] 治疗
予防 (よぼう) (0)	[名] 预防
ゆず湯 (ゆずゆ) (2)	[名] 柚子浴
しょうぶ湯 (しょうぶゆ) (3)	[名] 菖蒲浴
言い伝える (いいつたえる) (5)	[动2] 传说，传达
笹餅 (ささもち) (2)	[名] 竹叶年糕
ちまき (0) (1)	[名] 粽子
桜餅 (さくらもち) (3)	[名] 樱叶年糕
刺し身 (さしみ) (3)	[名] 生鱼片
風味 (ふうみ) (3)	[名] 味道，风味
殺菌 (さっきん) (0)	[名] 消毒，杀菌
防腐 (ぼうふ) (0)	[名] 防腐
知恵 (ちえ) (2)	[名] 智慧
コルク (1)	[名] 软木
岩波洋造 (いわなみようぞう) (2)+(0)	[专] 岩波洋造
～後 (ご)	原因は～にある (げんいんは～にある)
～内 (ない)	…からみると，…	それは…ということである
…までもなく，…			

词汇Ⅱ
足跡 (あしあと) (3)	[名] 足迹
経過 (けいか) (0)	[名] 经过
退院する (たいいんする) (0)	[动3] 出院
睡眠 (すいみん) (0)	[名] 睡眠
