《标准日本语》 初级 下册

第26课
嵐 (あらし) (1)	[名] 风暴
雷 (かみなり) (3)	[名] 雷
台風 (たいふう) (3)	[名] 台风
地震 (じしん) (0)	[名] 地震


第40课
词汇Ⅰ
踏む (ふむ) (0)	[动1] 踩，踏
洋装店 (ようそうてん) (3)	[名] 西服店
店 (みせ) (2)	[名] 商店
ブレザー (2)	[名] 西服上衣
勧める (すすめる) (0)	[动2] 劝
春物 (はるもの) (2)	[名] 春天穿戴的衣物
服 (ふく) (2)	[名] 衣服
ショー･ウィンドー (4)	[名] 橱窗
評判 (ひょうばん) (0)	[名] 名声，评价
大通り (おおどおり) (3)	[名] 大马路，大街
助かる (たすかる) (3)	[动1] 省事，减轻负担
生地 (きじ) (1)	[名] 布料，衣料
しわ (0)	[名] 皱纹
似合う (にあう) (2)	[动1] 适合
そのうえ (0)	[词组] 并且
おしゃれだ (2)	[形动] 讲究打扮
都会 (とかい) (0)	[名] 城市
デザイナー (2)	[名] (服装)设计师
デザインする (3)	[动3] 设计
伝統 (でんとう) (0)	[名] 传统
うまい (2)	[形] 巧妙，好，高明
取り入れる (とりいれる) (4)	[动2] 采用，吸收
…やすい	…にくい	～先 (さき)	～向け (むけ)

词汇Ⅱ
死ぬ (しぬ) (0)	[动1] 死
壊す (こわす) (2)	[动1] 弄坏，打破
盗む (ぬすむ) (2)	[动1] 偷，盗窃
泥棒 (どろぼう) (0)	[名] 小偷，贼


第41课
词汇Ⅰ
ゆうべ (3)	[名] 昨晚
語学 (ごがく) (1)	[名] 外语(学习)
講座 (こうざ) (0)	[名] 讲座
通う (かよう) (0)	[动1] 上(学)
就職 (しゅうしょく) (0)	[名] 就业
苦労する (くろうする) (1)	[动3] 辛苦，吃力
ねずみ (0)	[名] 老鼠
捕る (とる) (1)	[动1] 捕，捉
社会 (しゃかい) (1)	[名] 社会
がんばる (3)	[动1] 努力，奋斗
ロシア (1)	[专] 俄罗斯
スペイン (2)	[专] 西班牙

词汇Ⅱ
鶏 (にわとり) (0)	[名] 鸡
牛 (うし) (0)	[名] 牛
馬 (うま) (2)	[名] 马
豚 (ぶた) (0)	[名] 猪
